timestamp,tool,scenario,iteration,phase,duration_ms,exit_code
2025-12-24T14:41:26.6556988Z,dbt,S1,9,measured,68127,0
2025-12-24T14:42:33.4425430Z,dbt,S1,10,measured,66785,0
2025-12-24T14:43:32.2924040Z,dbt,S1,11,measured,58848,0
2025-12-24T14:44:42.1636771Z,dbt,S1,12,measured,69870,0
2025-12-24T14:45:50.0228679Z,dbt,S1,13,measured,67857,0
2025-12-24T14:46:59.9485157Z,dbt,S1,14,measured,69925,0
2025-12-24T14:48:10.9510466Z,dbt,S1,15,measured,71000,0
2025-12-24T14:49:19.2764517Z,dbt,S1,16,measured,68324,0
2025-12-24T14:50:27.8039158Z,dbt,S1,17,measured,68523,0
2025-12-24T14:51:36.0192333Z,dbt,S1,18,measured,68214,0
2025-12-24T14:52:43.6496610Z,dbt,S1,19,measured,67628,0
2025-12-24T14:53:52.0796003Z,dbt,S1,20,measured,68428,0
2025-12-24T14:54:24.9440877Z,sql_test_kit,S1,1,measured,30001,0
2025-12-24T14:54:55.8280887Z,sql_test_kit,S1,2,measured,30874,0
2025-12-24T14:55:28.5011681Z,sql_test_kit,S1,3,measured,32671,0
2025-12-24T14:56:02.7441535Z,sql_test_kit,S1,4,measured,34241,0
2025-12-24T14:56:35.7047937Z,sql_test_kit,S1,5,measured,32957,0
2025-12-24T14:57:07.0050577Z,sql_test_kit,S1,6,measured,31296,0
2025-12-24T14:57:38.9035131Z,sql_test_kit,S1,7,measured,31896,0
2025-12-24T14:58:09.5553854Z,sql_test_kit,S1,8,measured,30649,0
2025-12-24T14:58:40.5353440Z,sql_test_kit,S1,9,measured,30978,0
2025-12-24T14:59:09.6306412Z,sql_test_kit,S1,10,measured,29093,0
2025-12-24T14:59:40.7946861Z,sql_test_kit,S1,11,measured,31162,0
2025-12-24T15:00:13.6234464Z,sql_test_kit,S1,12,measured,32827,0
2025-12-24T15:00:43.9768905Z,sql_test_kit,S1,13,measured,30352,0
2025-12-24T15:01:14.5212440Z,sql_test_kit,S1,14,measured,30544,0
2025-12-24T15:01:46.5736052Z,sql_test_kit,S1,15,measured,32050,0
2025-12-24T15:02:13.9603990Z,sql_test_kit,S1,16,measured,27385,0
2025-12-24T15:02:40.1510197Z,sql_test_kit,S1,17,measured,26190,0
2025-12-24T15:03:06.7714379Z,sql_test_kit,S1,18,measured,26618,0
2025-12-24T15:03:34.0663152Z,sql_test_kit,S1,19,measured,27294,0
2025-12-24T15:04:07.8721879Z,sql_test_kit,S1,20,measured,33804,0
2025-12-24T15:04:18.1541275Z,pytest_sqlalchemy,S2,1,measured,7606,0
2025-12-24T15:04:25.4411493Z,pytest_sqlalchemy,S2,2,measured,7272,0
2025-12-24T15:04:32.6704767Z,pytest_sqlalchemy,S2,3,measured,7227,0
2025-12-24T15:04:39.9213963Z,pytest_sqlalchemy,S2,4,measured,7250,0
2025-12-24T15:04:47.2898959Z,pytest_sqlalchemy,S2,5,measured,7367,0
2025-12-24T15:04:54.4315692Z,pytest_sqlalchemy,S2,6,measured,7139,0
2025-12-24T15:05:01.5282721Z,pytest_sqlalchemy,S2,7,measured,7094,0
